timestamp,run_id,port_ret_gross,port_ret_net,equity_gross,equity_net,turnover,cost,weight_XLE,asset_ret_gross_XLE
2021-01-05 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0
2021-01-06 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-01-07 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-01-08 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-01-11 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-01-12 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-01-13 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-01-14 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0
2021-01-15 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-01-19 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0
2021-01-20 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-01-21 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0
2021-01-22 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0
2021-01-25 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0
2021-01-26 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0
2021-01-27 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0
2021-01-28 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0
2021-01-29 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0
2021-02-01 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0
2021-02-02 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0
2021-02-03 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-02-04 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-02-05 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-02-08 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-02-09 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-02-10 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0
2021-02-11 00:00:00+00:00,20260201_193427_57760e3f_StateSignal_XLE,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
